ФИО,Должность,Подразделение,Зарплата
Щербакова Чеслав Рубеновна,middle,ppuid,15388
Савин Кондратий Исидорович,senior,idjoo,19208
Русакова Борислав Геннадиевна,senior,edxpd,35042
Бобылева Твердислав Викторовна,senior,qsvqr,31842
Шилов Сократ Кирилловна,senior,vxwef,32237
Прохорова Фадей Валерианович,middle,njosy,16759
Филатов Парфен Феликсович,junior,jsdem,31225
Кудряшов Агап Бориславич,middle,ctaxl,39129
Козлова Демьян Бенедиктович,junior,jxlyf,32571
Королева Аверкий Иларионовичх,middle,piqsw,41729
Филиппова Ольга Максимовна,middle,dducz,30261
Попова Антонин Елисеевич,junior,zennx,35249
Антонова Антонина Афанасьевич,junior,ccsko,30286
Никитина Тамара Кузминична,senior,zhixr,43442
Муравьев Анисим Ермолаевич,senior,dqpdg,48518
Капустин Вениамин Сергеевна,junior,brmjj,44716
Шубин Александра Сергеевна,junior,bgomj,17965
Кириллов Терентий Сергеевна,senior,rtruz,32537
Киселева Лукьян Гертрудович,senior,oealt,47404
Гурьев Фока Робертовна,junior,xkria,41727
Шарапов Пелагея Оскаровна,junior,ippvf,39915
Соболев Мечислав Исидорович,senior,pmhzf,37643
Пестова Карл Фокич,senior,ckwhb,26851
Авдеева Константин Валериевна,junior,ajxxs,19449
Комиссаров Аникита Власович,senior,xczuw,36315
Тихонова Елисей Терентьевич,senior,yoskf,28827
Кириллова Иларион Болеславовна,junior,uvtjn,35051
Гурьева Николай Жанович,senior,cakxk,35431
Кузнецов Валентина Тимурович,senior,juoon,30657
Шарова Емельян Елисеевич,senior,rljut,42721
Гордеева Ладислав Герасимович,junior,vvgvz,26474
Носкова Радован Дорофеевич,middle,fdgeh,26322
Кабанова Моисей Феофанович,junior,vkwuu,16915
Колобова Милен Владиславовна,middle,wcsjx,25514
Голубев Поликарп Захарьевич,senior,kodjy,19342
Коновалов Платон Федосеевич,junior,ykqqi,47513
Панов Аполлинарий Егорович,senior,dtbvr,20456
Некрасов Карп Игоревич,junior,sosub,33435
Зыков Ратибор Святославовна,middle,opcoj,15771
Субботин Фёкла Архиповна,senior,qkgqe,32237
Белова Юлиан Димитриевич,junior,wnnvi,21730
Боброва Флорентин Константиновна,middle,syjsy,28556
Зиновьев Никифор Анатольевич,middle,mmcln,44429
